step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
138,10.458,2.4865,0.011449,0.66651,0.7518,0.7403
139,10.138,2.2043,0.011755,0.67607,0.7547,0.7430
140,8.903,1.2056,0.014796,0.68459,0.7592,0.7444
141,9.3394,2.4407,0.020287,0.69342,0.7651,0.7448
142,14.298,3.377,0.027396,0.70428,0.7719,0.7445
143,15.75,4.3818,0.03568,0.71665,0.7787,0.7431
144,16.984,3.7423,0.043759,0.72816,0.7842,0.7405
145,18.233,1.883,0.050184,0.73786,0.7880,0.7378
146,19.466,1.9364,0.055313,0.74687,0.7903,0.7350
147,20.022,1.8336,0.060653,0.75578,0.7913,0.7306
148,18.119,2.9482,0.066243,0.76515,0.7908,0.7245
149,12.891,4.0626,0.07095,0.77464,0.7879,0.7170
150,11.112,4.6205,0.073603,0.78361,0.7819,0.7083
151,10.578,4.174,0.069143,0.7893,0.7722,0.7030
152,10.363,2.0238,0.060424,0.79565,0.7632,0.7027
153,12.85,1.4947,0.052312,0.8044,0.7574,0.7051
154,12.85,1.5767,0.045136,0.81369,0.7538,0.7086
155,13.866,1.7764,0.037564,0.82219,0.7512,0.7137
156,13.866,1.8251,0.029587,0.83112,0.7494,0.7198
157,13.509,2.198,0.022342,0.84134,0.7487,0.7264
158,13.509,2.5473,0.016712,0.8523,0.7490,0.7323
159,11.384,2.3747,0.013688,0.86322,0.7506,0.7370
160,11.384,1.7958,0.01408,0.87332,0.7539,0.7398
161,11.171,1.8657,0.01774,0.88299,0.7591,0.7414
162,12.084,2.8127,0.024105,0.89324,0.7658,0.7417
163,15.208,3.7358,0.031555,0.90497,0.7727,0.7411
164,16.549,4.1154,0.039598,0.91718,0.7789,0.7393
165,18.034,2.9682,0.046774,0.92746,0.7835,0.7367
166,18.894,1.6633,0.052155,0.93591,0.7866,0.7344
167,19.681,1.6649,0.056065,0.94405,0.7884,0.7324
168,19.289,2.2673,0.060128,0.95257,0.7890,0.7289
169,15.628,3.4703,0.064334,0.96181,0.7878,0.7234
170,11.572,4.4176,0.067442,0.97127,0.7838,0.7163
171,11.056,4.6083,0.068374,0.98031,0.7762,0.7079
172,10.931,4.1741,0.063288,0.98657,0.7661,0.7028
173,12.352,2.3347,0.056868,0.99486,0.7598,0.7030
174,13.136,1.5851,0.050011,1.0036,0.7557,0.7057
175,13.136,1.7085,0.043152,1.0125,0.7529,0.7097
176,14.489,1.9935,0.035583,1.0213,0.7508,0.7152
177,14.489,2.4485,0.028049,1.0311,0.7494,0.7214
178,12.101,2.7411,0.02149,1.0423,0.7492,0.7277
179,12.101,2.7531,0.016915,1.0537,0.7503,0.7334
180,11.981,2.3391,0.015799,1.0636,0.7530,0.7372
181,11.518,1.4176,0.018149,1.0723,0.7575,0.7394
182,11.135,2.7297,0.023382,1.0807,0.7637,0.7404
183,15.85,3.2313,0.030669,1.0905,0.7707,0.7401
184,17.268,4.5302,0.038732,1.1023,0.7776,0.7389
185,18.022,3.8489,0.046379,1.114,0.7830,0.7367
186,19.076,2.2593,0.0528,1.1234,0.7870,0.7342
187,19.83,2.2095,0.057764,1.1312,0.7899,0.7322
188,20.659,1.8119,0.061125,1.1392,0.7919,0.7308
189,17.707,3.0043,0.063843,1.1478,0.7923,0.7284
190,12.646,4.6133,0.065806,1.1566,0.7900,0.7242
191,11.493,5.4316,0.066676,1.1656,0.7843,0.7176
192,11.557,5.4291,0.065768,1.1748,0.7749,0.7091
193,11.884,3.948,0.061114,1.1824,0.7646,0.7035
194,12.713,1.5769,0.055627,1.191,0.7581,0.7025
195,12.3,1.786,0.049802,1.2001,0.7537,0.7039
196,12.3,1.9882,0.04342,1.2089,0.7503,0.7069
197,12.485,2.38,0.036672,1.218,0.7482,0.7115
198,12.485,2.7464,0.029891,1.2288,0.7472,0.7173
199,11.995,3.1411,0.023814,1.241,0.7471,0.7233
200,13.118,2.9382,0.01977,1.2526,0.7482,0.7284
201,13.306,2.203,0.019488,1.2619,0.7510,0.7315
202,11.834,1.99,0.023106,1.2704,0.7562,0.7330
203,15.19,3.0028,0.029683,1.2794,0.7632,0.7335
204,17.683,4.1165,0.037992,1.2901,0.7709,0.7329
205,19.399,4.5854,0.045736,1.3017,0.7776,0.7319
206,20.268,3.409,0.052393,1.312,0.7827,0.7303
207,21.38,2.7524,0.057708,1.3194,0.7864,0.7286
208,22.456,2.1013,0.061314,1.3252,0.7891,0.7278
209,21.085,2.252,0.062613,1.3313,0.7906,0.7280
210,16.228,3.9851,0.062301,1.3384,0.7899,0.7276
211,12.285,5.408,0.060849,1.3465,0.7858,0.7250
212,11.94,5.2842,0.058375,1.3553,0.7780,0.7196
213,12.738,4.814,0.055565,1.3653,0.7674,0.7118
214,12.738,3.0118,0.05495,1.3751,0.7606,0.7057
215,13.662,1.6972,0.050914,1.3823,0.7557,0.7048
